Group Number,Subhalo ID,Snapshot,Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Subhalo ID at Snap,Subfind ID at snapp
19826,832334,54,2.002434015274048,29409.05859375,37136.8046875,54420.54296875,-148.6284637451172,126.31875610351562,-44.74887466430664,13755243,263842
19826,832334,53,1.9944919347763062,29448.630859375,37102.66015625,54435.34765625,-145.82339477539062,122.00841522216797,-44.773887634277344,13755244,235552
19826,832334,52,1.5767446756362915,29501.8671875,37053.39453125,54449.5390625,-139.68435668945312,115.70376586914062,-40.39472961425781,13755245,231964
19826,832334,51,1.8107678890228271,29544.85546875,37012.14453125,54456.8828125,-138.03244018554688,111.59098815917969,-44.39118194580078,13755246,161733
19826,832334,50,1.5253865718841553,29592.875,36975.1328125,54471.69140625,-131.49671936035156,108.75125885009766,-42.417301177978516,13755247,181059
19826,832334,49,1.5608607530593872,29604.0078125,36969.5390625,54475.6171875,-130.06893920898438,107.53376770019531,-42.355308532714844,13755248,172004
19826,832334,48,1.411551833152771,29644.70703125,36936.30859375,54492.91015625,-127.79631042480469,106.33656311035156,-44.570587158203125,13755249,154017
19826,832334,47,1.3268375396728516,29692.943359375,36897.703125,54505.2734375,-124.9605484008789,102.9543228149414,-42.865875244140625,13755250,125681
19826,832334,46,1.0520455837249756,29733.623046875,36864.0078125,54514.53125,-118.39118194580078,99.12298583984375,-43.288177490234375,13755251,120952
19826,832334,45,0.9964517951011658,29752.333984375,36848.828125,54518.58203125,-119.67847442626953,95.5939712524414,-42.61369705200195,13755252,122164
19826,832334,44,0.9810973405838013,29766.3359375,36837.953125,54519.40234375,-118.22239685058594,95.15454864501953,-42.7406120300293,13755253,112888
19826,832334,43,0.74919193983078,29808.349609375,36809.734375,54524.59375,-117.39041137695312,84.30838012695312,-35.77829360961914,13755254,98887
19826,832334,42,0.537935733795166,29846.18359375,36788.64453125,54532.8046875,-113.52306365966797,72.0445327758789,-30.30038833618164,13755255,115021
19826,832334,41,0.516227662563324,29862.640625,36783.51953125,54538.5390625,-113.84589385986328,72.12086486816406,-32.20914840698242,13755256,80526
19826,832334,40,0.47175267338752747,29885.10546875,36774.9609375,54543.9453125,-110.56566619873047,71.57241821289062,-33.89256286621094,13755257,99741
19826,832334,39,0.360565185546875,29913.46875,36761.15625,54550.40625,-105.25225067138672,65.83201599121094,-34.02512741088867,13755258,86279
19826,832334,38,0.2853812575340271,29943.87890625,36746.3828125,54564.0,-97.01626586914062,59.46427536010742,-34.300880432128906,13755259,79314
19826,832334,37,0.21708035469055176,29966.12890625,36731.67578125,54568.19140625,-92.0699462890625,53.97831726074219,-36.87238311767578,13755260,94676
19826,832334,36,0.16148661077022552,29995.939453125,36719.11328125,54580.875,-87.28593444824219,50.405494689941406,-31.081960678100586,13755261,78436
19826,832334,35,0.1651928573846817,30000.73828125,36712.52734375,54583.75390625,-87.20195007324219,50.050289154052734,-32.41917419433594,13755262,72935
19826,832334,34,0.1493089348077774,30020.55078125,36702.140625,54589.21484375,-85.43989562988281,51.774993896484375,-31.181562423706055,13755263,74141
19826,832334,33,0.11542321741580963,30042.890625,36693.62109375,54597.8046875,-81.91325378417969,51.97189712524414,-30.612380981445312,13755264,72268
