Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Escape Speed z=0,Escape Speed Max Mass,AM Stellar Mass
5806.0,617448.0,0.50305,1.542516052722931,16.739043322476476,97.0,0.64464,58.218722823228035,126.60237424817188,56072.31640625,73164.25,43156.48828125,-104.6992645263672,-67.51161193847656,-333.6998291015625,234.61618522257257,245.4800712677181,0.10912327545730886
5807.0,617463.0,0.50305,4.6282999894835735,5.3420239551500845,101.0,0.5463899999999999,83.97047500526108,87.55970882770553,28187.794921875,9144.6552734375,32255.53515625,-18.914409637451172,-37.62777328491211,-142.28475952148438,100.84418241353185,103.15980761572986,0.011355711150002702
5808.0,617498.0,0.50305,4.090562801469456,4.527521404353055,79.0,1.2485,80.58368648144527,78.46872247398993,40548.9140625,42486.08984375,53400.21484375,-342.7258605957031,63.84225845336914,-51.87519454956055,109.71063989308294,112.40696930036395,0.006615396594251837
5809.0,617523.0,0.50305,2.09905511953614,3.0015510591593664,86.0,0.98785,64.51500333289096,69.3400834502191,60727.14453125,26083.376953125,5232.205078125,101.1084213256836,19.506000518798828,-84.39260864257812,162.16289392440223,167.05691841751477,0.003080739607113748
5810.0,617538.0,0.50305,1.134136522358114,3.8341036574407057,94.0,0.73264,52.546188782596,76.75520959008212,17965.076171875,29762.54296875,20125.69140625,-257.39828491210943,-166.16282653808594,90.61285400390624,198.4935469209037,205.80718086402516,0.005292559646014181
5811.0,617566.0,0.50305,0.1722263087603179,0.4504958844997666,76.0,1.4141,28.034056284605327,36.142651277906324,26722.78125,34892.77734375,15282.291015625,-74.80818939208984,-45.86383438110352,-13.916080474853516,179.5321581022856,185.50245109685972,8.265042180372308e-05
5812.0,617583.0,0.50305,2.8180435977198863,6.440812891179865,95.0,0.70011,71.17082699728823,91.53808067806837,55356.9140625,17784.1796875,32779.03515625,455.0496520996094,-145.03565979003906,154.47042846679688,169.72593917507785,175.83248875053164,0.015328786595182263
5813.0,617614.0,0.50305,3.8859969512982806,4.621531137011269,99.0,0.59854,79.2173411345372,82.88219700784593,21470.62109375,28602.6328125,10911.2314453125,-125.70535278320312,-71.20317077636719,-82.0363540649414,143.41026601215893,147.58619249874525,0.00817681972625286
5814.0,617633.0,0.50305,0.44297507371414796,0.64453249797225,81.0,1.1546,38.41013846436301,41.143861675174435,65377.91796875,57943.81640625,58822.0078125,170.12164306640625,56.84446334838867,-497.6411437988281,186.5518168614189,193.77790856234014,0.00015494344600968486
5815.0,617654.0,0.50305,1.3717937875877728,2.8548955240032887,73.0,1.6042,55.98637992737206,66.5290832791209,16146.873046875,20820.37109375,34101.1328125,141.2130126953125,21.57062149047852,-135.29788208007812,201.39271575269402,209.0423111990465,0.0027085208341582497
5816.0,617681.0,0.50305,1.0536639866503803,4.020619460127572,92.0,0.7910699999999999,51.272774858039476,77.56280230779767,71632.34375,23333.53515625,30175.2578125,101.6564712524414,-279.6727294921875,-360.1229553222656,219.98771722823847,234.0611029010784,0.005722946344984598
5817.0,617707.0,0.50305,0.13387023301964454,0.3091048618609255,56.0,3.7088,25.775916498341022,31.134856170787327,7977.6025390625,14933.431640625,66253.515625,230.78976440429688,268.02252197265625,-185.09642028808602,210.0331438249702,218.00103586195308,6.017907252131919e-05
5818.0,617713.0,0.50305,0.3828087144277313,1.0882596569982443,95.0,0.70011,36.585869557604845,50.60565896243676,26685.75,9564.978515625,71648.9140625,-337.2955322265625,-479.52935791015625,43.266510009765625,230.80747281590402,240.68282824019465,0.000412722680596201
5819.0,617726.0,0.50305,1.023580828173594,1.5522930771112442,77.0,1.3576,50.780092856264574,54.693402541679106,3515.022705078125,38265.19140625,30455.310546875,232.55523681640625,115.7267837524414,-250.4302062988281,145.75436824290185,152.27169387197947,0.0008557747932292957
